Code,Price
CR2 BP,388.80000
CRV3BP1,393.00000
DIN55LMF,"5,625.00000"
DIN55MF,"5,625.00000"
DIN88LMF,"8,432.00000"
DOL,17.35000
DOL2A2,217.00000
DOL2D2,281.00000
DSF,533.83000
DSL,43.22000
E220 ASS PROMO,137.50000
E220 ASSORTED,120.00000
E220 RED,120.00000
E220 RED PROMO,158.00000
E220K,120.00000
E220PROMO.,125.00000
E220REDPROMO,125.00000
E250,148.00000
E250 ASSORTED,115.50000
E250 RED,115.50000
E250 RED ASS PR,171.60000
E250 RED PROMO,171.60000
E250-B,135.00000
E250PR,135.00000
E250REDPROMO,171.00000
E250WB-BP.,202.00000
E350,185.00000
E420,127.40000
E450,336.56250
E450PR,374.00000
E451,150.00000
E90BP-2,138.00000
E91BP1-AF,28.24860
E91BP2-LL,81.00000
E91BP2-MAX,74.70000
E91BP4(3+1)LL,60.00000
E91BP4(3+1)MAX,55.00000
E91BP4-AF,61.00000
E91BP4-LL,79.00000
E91BP4-MAX,71.28000
E91BP6(4+2),38.77000
E91BP6(4+2)-LL,53.00000
E91BP6(4+2)-MAX,47.44000
E92BP2-LL,81.00000
E92BP2-MAX,74.70000
E92BP4(3+1) MAX,55.00000
E92BP4(3+1)-LL,60.00000
E92BP4-LL,79.00000
E92BP4-MAX,71.28000
E92BP6(4+2),41.88000
E92BP6(4+2)-LL,53.00000
E92BP6(4+2)MAX,47.44000
E93BP2-LL,178.00000
E93BP2-MAX,163.35000
E95BP2-LL,194.00000
E95BP2-MAX,193.55000
E96BP-2,82.00000
EAC10E,70.00000
EAC13E,53.05000
EAC312E,53.05000
EC2A3,74.80000
EC2A3WB,110.00000
EC2AA2,39.93520
EC2AAWB,60.00000
EC2D2,69.49720
EC2D3,115.50000
EC2D3WB,171.60000
EC2DPROMO,100.00000
EC4D2,295.00000
ECLED2AA,160.00000
ECLED4AA,221.00000
ECR1216BP5,35.00000
ECR1616,35.00000
ECR1620BP5,103.00000
ECR2012BP5,35.00000
ECR2016BP,58.00000
ECR2025BP,53.00000
ECR2032BP,58.00000
ECR2430BP5,150.00000
EL123APBP,338.00000
EL123APBP2,338.00000
EL223APBP,613.00000
EL2CR5BP,539.00000
EOL,"4,172.00000"
EP675E-6,53.05000
EPX76BP,113.00000
F215,250.94792
F250,337.06944
F450,637.93100
FL450,653.75000
FL651,916.67000
FNL2B1,508.00000
FNL2BUIX2,385.00000
FUSO-517,"6,375.00000"
FVR-13,"6,600.00000"
GRS,44.05800
HAT2BU1,275.00000
HD4L33AE,864.00000
HD7L33AE,"1,079.00000"
HDCL2BU,190.56000
HDL2BU1,330.00000
HDL33A,884.00000
HGRS,38.23500
KPR102,62.65000
KPR103,64.00000
KPR104,65.00000
KPR113,64.90500
L522FP,488.85000
L91BP2,275.00000
L92BP2,241.00000
LED2BU1,494.00000
LED3BUI,215.00000
LEDIDI-AMBER,543.02400
LEDIDI-BLUE,543.02000
LEDIDI-RED,543.02400
LEDIDI-WHITE,543.02430
LEDONE PROMO,248.00000
LEDONE RVSMBK,226.00000
LP212,329.00000
MIL2A3,"1,525.00000"
MS2ALED,422.00000
MS2DLED,813.00000
N40,"4,162.24000"
N40L,"4,162.24000"
N40LMF,"4,525.86000"
N40MF,"4,525.86000"
N40S,"4,162.24000"
N40SL,"4,162.24000"
N40SLMF,"4,781.00000"
N40SMF,"4,525.86000"
N70,"5,289.66000"
N70L,"5,289.66000"
N70LMF,"6,982.76000"
N70MF,"6,982.76000"
NEMO-NS,146.56000
NH12BP2,205.00000
NH15BP2,328.00000
NH15BP2-2500,296.00000
NH15BP4,338.00000
NH22BP1-175MAH,727.00000
NS40LMF,"3,095.00000"
NS40MF,"4,781.00000"
NS40SLMF,"3,095.00000"
NS40SMF,"4,781.00000"
NS70,"4,831.03000"
NS70L,"4,831.03000"
NS70LMF,"6,142.24000"
NS70MF,"6,142.24000"
OF,533.83000
P212,150.00000
PIBALBD00004-BK,6.00000
PIBALBD00004-BL,6.00000
PIBALBD00004-RD,6.00000
PIBALCR00006-BK,8.00000
PIBALCR00006-BL,8.00000
PIBALCR00006-RD,8.00000
PIBALPN00005-BK,10.00000
PIBALPN00005-BL,10.00000
PIBALPN00005-RD,10.00000
PIERASH00003,4.00000
PIFNTSC00007,29.00000
PIFNTTR00008,39.00000
PIMRKPROP010,39.00000
PIMRKPRPR012-BK,39.00000
PIMRKPRPR012-BL,39.00000
PIMRKPRPR012-RD,39.00000
PIMRKWTCS011-BK,45.00000
PIMRKWTCS011-BL,45.00000
PIMRKWTCS011-RD,45.00000
PIPENHB00001,9.00000
PIPENHB00002,7.00000
PL314M,345.00000
PRO123A,"1,030.00000"
PRO2AA1,"1,994.21000"
PRO2D1,"1,772.00000"
PRO4AA,"1,711.80000"
PROSW2AA,"1,463.40000"
QCC4-220V,"2,200.00000"
R220,169.10000
R251,303.55000
RC 102,"2,278.80000"
RC102,"2,492.00000"
RC104,"1,495.15000"
RC105,"1,108.54000"
RC110-SK,"2,492.00000"
RC-290,570.63854
RCE2AA2,660.00000
RCLED 2AA,0.00000
RCLED 2D,"3,232.00000"
RCLED2AA,"2,350.00000"
RCLED2D,"3,200.00000"
S7898I40WB22,28.42000
S7899I40WE27,27.72000
S7900I60WB22,28.46000
S7901I60WE27,28.42000
S7902I100WB22,28.42000
S7903I100WE27,29.15000
S7904F2U7WB22,143.98000
S7905F2U7WE27,143.98000
S7906F2U9WB22,143.98000
S7907F2U9WE27,143.98000
S7908F2U11WB22,145.02000
S7909F2U11WE27,145.02000
S7910F2U15WB22,145.02000
S7911F2U15WE27,145.02000
S7912F2U7WB22,145.02000
S7913F2U7WE27,145.02000
S7914F2U11WB22,145.02000
S7915F2U11WE27,145.02000
S7916F2U15WB22,145.05000
S7917F2U15WE27,145.02000
S7918F3U9WB22,190.90000
S7919F3U9WE27,190.90000
S7920F3U11WB22,190.90000
S7921F3U11WE27,190.90000
S7922F3U15WB22,190.90000
S7923F3U15WE27,190.90000
S7924F3U9WB22,190.90000
S7925F3U9WE27,190.90000
S7926F3U11WB22,190.90000
S7927F3U11WE27,190.90000
S7928F3U15WB22,190.90000
S7929F3U15WE27,190.90000
S7936F2U9WB22,145.02000
S7937F2U9WE27,145.02000
S7939F2U7WB15,145.02000
S7940F2U7WE14,145.02000
S7941F2U9WB15,145.02000
S7942F2U9WB15,145.02000
S7943F2U11WB15,145.02000
S7944F2U11WE14,145.02000
S7945F2U15WB15,145.02000
S7947F2U7WB15,145.02000
S7948F2U7WE14,145.02000
S7949F2U9WB15,145.02000
S7950F2U9WE14,145.02000
S7951F2U11WB15,145.02000
S7952F2U11WE14,145.02000
S7953F2U15WB15,145.02000
S7954F2U15WE14,145.02000
S7955F3U9WB15,190.90000
S7956F3U9WE14,190.90000
S7957F3U11WB15,204.53000
S7961F3U15WB15,190.90000
S7986F2U9WB22,137.50000
SDR,42.50000
SE-222,"1,938.00000"
SLBOO-NS,146.56000
SLEYO-NS,146.56000
SLMIK-NS,146.56000
SLPOH-NS,146.56000
SLSUL-NS,146.56000
SLTIG-NS,146.56000
T10,"1,806.30000"
T3859,118.00000
T-73WB,250.00000
T8815,57.60000
TD70LMF,"5,625.00000"
TD70MF,"5,625.00000"
TG,0.00050
TL04,"1,950.00000"
TL05,"1,342.13000"
TUFRC1,"4,444.00000"
TY10,"24,221.80000"
TYR10,"11,797.20000"
V215,128.87778
V250,138.79306
V250TB,160.00000
VAL2AA2,120.00000
VAL2D2,185.00000
WP251,242.00000
X112,239.10000
X215,364.65000
X250,677.70000
